lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
35.73,140.83,14.0,broken clouds,75,71,2.6,hasaki,JP
-20.73,139.5,33.0,clear sky,0,9,3.6,mount isa,AU
64.92,77.78,-11.05,overcast clouds,100,96,7.65,tarko-sale,RU
57.07,93.44,-6.4,overcast clouds,100,94,3.62,predivinsk,RU
-1.76,-48.8,25.0,moderate rain,40,94,1.0,ipixuna,BR
-29.95,-71.34,13.0,clear sky,0,87,2.1,coquimbo,CL
-18.9,-66.77,9.8,light rain,100,53,0.55,challapata,BO
57.8,158.67,0.88,overcast clouds,99,88,6.27,tigil,RU
-32.59,149.59,20.23,broken clouds,75,45,6.2,mudgee,AU
53.51,142.97,-1.81,overcast clouds,100,94,11.09,ekhabi,RU
62.23,-6.59,10.0,mist,100,93,6.7,klaksvik,FO
-1.58,14.26,20.71,overcast clouds,98,93,1.52,lekoni,GA
-2.67,141.3,28.48,light rain,100,81,3.31,vanimo,PG
58.81,33.39,5.39,overcast clouds,89,77,5.57,lyubytino,RU
51.23,-58.65,5.58,light rain,100,93,10.67,saint-augustin,CA
54.45,51.48,1.58,overcast clouds,100,96,4.07,shentala,RU
52.27,79.17,2.82,overcast clouds,99,74,4.26,klyuchi,RU
71.04,27.85,4.95,broken clouds,75,84,5.77,mehamn,NO
13.94,120.92,30.54,broken clouds,75,66,2.6,dayapan,PH
14.2,24.67,16.19,broken clouds,55,32,5.61,kutum,SD
55.51,31.85,6.86,broken clouds,72,86,5.42,przhevalskoye,RU
26.59,111.85,18.66,overcast clouds,95,61,2.58,qiyang,CN
-15.2,12.15,20.41,scattered clouds,31,65,4.09,namibe,AO
63.79,74.52,0.03,overcast clouds,100,99,8.82,muravlenko,RU
-1.57,9.26,24.27,overcast clouds,99,90,1.85,omboue,GA
-13.63,-41.33,18.72,light rain,100,100,1.89,barra da estiva,BR
56.05,97.63,-6.54,overcast clouds,100,95,6.46,yurty,RU
67.68,53.15,1.65,overcast clouds,98,97,2.39,iskateley,RU
44.1,-70.21,11.5,clear sky,1,54,2.6,lewiston,US
14.9,-24.5,24.41,clear sky,2,78,1.59,sao filipe,CV
